operator,term,index,raftTime,prevApplyTime,valueSize
InsertRowNode,1,1,1685156483353,1685156483363,100
InsertRowNode,1,3,1685156483502,1685156493226,100
InsertRowNode,1,5,1685156484209,1685156495772,100
InsertRowNode,1,7,1685156484337,1685156495790,100
InsertRowNode,1,9,1685156484624,1685156495795,100
InsertRowNode,1,11,1685156484651,1685156495914,100
InsertRowNode,1,13,1685156484718,1685156495920,100
InsertRowNode,1,15,1685156484737,1685156495990,100
InsertRowNode,1,17,1685156484813,1685156495993,100
InsertRowNode,1,19,1685156485009,1685156495999,100
InsertRowNode,1,21,1685156485147,1685156496089,100
InsertRowNode,1,23,1685156485298,1685156496103,100
InsertRowNode,1,25,1685156485430,1685156499299,100
InsertRowNode,1,27,1685156485598,1685156499689,100
InsertRowNode,1,29,1685156485631,1685156499692,100
InsertRowNode,1,31,1685156485638,1685156499694,100
InsertRowNode,1,33,1685156485651,1685156499696,100
InsertRowNode,1,35,1685156485799,1685156499699,100
InsertRowNode,1,37,1685156485813,1685156499701,100
InsertRowNode,1,39,1685156485927,1685156499702,100
InsertRowNode,1,41,1685156485935,1685156499704,100
InsertRowNode,1,43,1685156485946,1685156499704,100
InsertRowNode,1,45,1685156486001,1685156499706,100
InsertRowNode,1,47,1685156486032,1685156499707,100
InsertRowNode,1,49,1685156486050,1685156499709,100
InsertRowNode,1,51,1685156486098,1685156499710,100
InsertRowNode,1,53,1685156486151,1685156499788,100
InsertRowNode,1,55,1685156486193,1685156499792,100
InsertRowNode,1,57,1685156486212,1685156499794,100
InsertRowNode,1,59,1685156486309,1685156499797,100
InsertRowNode,1,61,1685156486444,1685156499798,100
InsertRowNode,1,63,1685156486491,1685156499799,100
InsertRowNode,1,65,1685156486551,1685156499802,100
InsertRowNode,1,66,1685156486564,1685156499804,100
InsertRowNode,1,69,1685156486615,1685156499807,100
InsertRowNode,1,71,1685156486629,1685156499808,100
InsertRowNode,1,73,1685156486647,1685156499808,100
InsertRowNode,1,75,1685156486816,1685156500034,100
InsertRowNode,1,77,1685156486929,1685156500037,100
InsertRowNode,1,79,1685156487103,1685156500039,100
InsertRowNode,1,81,1685156487170,1685156500040,100
InsertRowNode,1,83,1685156487211,1685156500042,100
InsertRowNode,1,85,1685156487241,1685156500044,100
InsertRowNode,1,87,1685156487260,1685156500045,100
InsertRowNode,1,89,1685156487292,1685156500046,100
InsertRowNode,1,91,1685156487325,1685156500047,100
InsertRowNode,1,93,1685156487351,1685156500048,100
InsertRowNode,1,95,1685156487377,1685156500049,100
InsertRowNode,1,97,1685156487391,1685156500049,100
InsertRowNode,1,99,1685156487412,1685156500050,100
InsertRowNode,1,101,1685156487446,1685156500051,100
InsertRowNode,1,103,1685156487475,1685156500052,100
InsertRowNode,1,105,1685156487497,1685156500053,100
InsertRowNode,1,107,1685156487544,1685156500053,100
InsertRowNode,1,109,1685156487559,1685156500055,100
InsertRowNode,1,111,1685156487565,1685156500055,100
InsertRowNode,1,113,1685156487577,1685156500056,100
InsertRowNode,1,114,1685156487579,1685156500057,100
InsertRowNode,1,117,1685156487603,1685156500058,100
InsertRowNode,1,119,1685156487616,1685156500059,100
InsertRowNode,1,121,1685156487629,1685156500060,100
InsertRowNode,1,123,1685156487639,1685156500060,100
InsertRowNode,1,125,1685156487644,1685156500061,100
InsertRowNode,1,127,1685156487667,1685156500062,100
InsertRowNode,1,129,1685156487740,1685156500063,100
InsertRowNode,1,131,1685156487767,1685156500064,100
InsertRowNode,1,133,1685156487772,1685156500065,100
InsertRowNode,1,135,1685156487796,1685156500066,100
InsertRowNode,1,137,1685156487818,1685156500067,100
InsertRowNode,1,139,1685156487832,1685156500068,100
InsertRowNode,1,141,1685156487848,1685156500069,100
InsertRowNode,1,143,1685156487858,1685156500069,100
InsertRowNode,1,145,1685156487901,1685156500070,100
InsertRowNode,1,147,1685156487919,1685156500071,100
InsertRowNode,1,149,1685156487930,1685156500072,100
InsertRowNode,1,151,1685156487938,1685156500083,100
InsertRowNode,1,153,1685156487945,1685156500084,100
InsertRowNode,1,155,1685156487958,1685156500084,100
InsertRowNode,1,157,1685156487970,1685156500085,100
