index,time
1,1685156482980
2,1685156482980
5,1685156483398
7,1685156483592
9,1685156484264
11,1685156484335
13,1685156484565
15,1685156484574
17,1685156484589
19,1685156484695
21,1685156484820
23,1685156485025
25,1685156485101
27,1685156485231
29,1685156485333
31,1685156485445
33,1685156485520
35,1685156485618
37,1685156485717
39,1685156485906
41,1685156485992
43,1685156486006
45,1685156486103
47,1685156486134
49,1685156486226
51,1685156486427
53,1685156486450
55,1685156486508
57,1685156486707
59,1685156486715
61,1685156486837
62,1685156486838
65,1685156486996
67,1685156487051
69,1685156487097
71,1685156487140
73,1685156487145
75,1685156487175
77,1685156487219
79,1685156487225
81,1685156487244
83,1685156487251
85,1685156487262
87,1685156487279
89,1685156487301
91,1685156487345
93,1685156487360
95,1685156487368
97,1685156487397
99,1685156487419
101,1685156487424
103,1685156487447
105,1685156487488
107,1685156487519
109,1685156487529
111,1685156487609
113,1685156487622
115,1685156487648
117,1685156487691
119,1685156487705
121,1685156487708
122,1685156487710
125,1685156487743
127,1685156487746
129,1685156487763
131,1685156487768
133,1685156487804
135,1685156487837
137,1685156487843
139,1685156487849
141,1685156487880
143,1685156487885
145,1685156487889
146,1685156487890
148,1685156487913
150,1685156487933
152,1685156487940
154,1685156487955
156,1685156487992
158,1685156487998
160,1685156488005
161,1685156488006
164,1685156488012
166,1685156488019
168,1685156488026
169,1685156488027
172,1685156488043
174,1685156488047
176,1685156488056
178,1685156488059
180,1685156488063
182,1685156488081
184,1685156488109
186,1685156488114
187,1685156488115
190,1685156488133
192,1685156488140
194,1685156488159
196,1685156488163
198,1685156488167
199,1685156488176
202,1685156488192
204,1685156488215
205,1685156488215
208,1685156488254
209,1685156488255
211,1685156488261
213,1685156488271
215,1685156488288
216,1685156488288
218,1685156488312
220,1685156488317
222,1685156488328
224,1685156488336
226,1685156488342
228,1685156488355
230,1685156488371
232,1685156488374
233,1685156488374
236,1685156488377
238,1685156488387
240,1685156488403
242,1685156488407
244,1685156488413
246,1685156488416
248,1685156488424
250,1685156488427
252,1685156488451
254,1685156488478
256,1685156488487
258,1685156488490
259,1685156488491
262,1685156488509
264,1685156488518
266,1685156488538
268,1685156488540
270,1685156488549
272,1685156488553
273,1685156488610
274,1685156488615
278,1685156488622
280,1685156488639
282,1685156488643
283,1685156488643
286,1685156488646
288,1685156488662
290,1685156488718
291,1685156488718
292,1685156488720
295,1685156488724
296,1685156488725
299,1685156488735
301,1685156488739
303,1685156488742
305,1685156488749
307,1685156488758
309,1685156488770
311,1685156488779
312,1685156488779
314,1685156488791
316,1685156488799
318,1685156488814
320,1685156488824
322,1685156488837
324,1685156488907
325,1685156488907
327,1685156488931
329,1685156489020
330,1685156489020
332,1685156489056
334,1685156489100
336,1685156489107
338,1685156489115
340,1685156489130
342,1685156489142
344,1685156489150
346,1685156489168
348,1685156489185
350,1685156489199
352,1685156489211
354,1685156489217
356,1685156489226
358,1685156489229
359,1685156489230
362,1685156489232
364,1685156489234
366,1685156489242
368,1685156489246
370,1685156489249
372,1685156489254
374,1685156489267
375,1685156489268
378,1685156489272
380,1685156489288
382,1685156489293
384,1685156489297
386,1685156489299
388,1685156489301
389,1685156489302
392,1685156489319
394,1685156489341
396,1685156489343
398,1685156489353
400,1685156489356
402,1685156489359
404,1685156489361
406,1685156489371
408,1685156489373
410,1685156489374
412,1685156489392
413,1685156489392
415,1685156489396
416,1685156489397
419,1685156489401
421,1685156489413
423,1685156489418
424,1685156489418
427,1685156489433
429,1685156489445
431,1685156489474
433,1685156489488
435,1685156489499
437,1685156489504
439,1685156489517
440,1685156489518
443,1685156489534
445,1685156489551
446,1685156489551
448,1685156489555
450,1685156489565
452,1685156489571
454,1685156489574
456,1685156489578
458,1685156489581
460,1685156489589
461,1685156489589
464,1685156489592
465,1685156489593
468,1685156489602
470,1685156489605
472,1685156489608
473,1685156489609
476,1685156489611
478,1685156489631
480,1685156489633
482,1685156489634
484,1685156489641
486,1685156489644
488,1685156489647
490,1685156489653
492,1685156489663
493,1685156489664
496,1685156489678
497,1685156489703
500,1685156489730
502,1685156489744
504,1685156489767
506,1685156489779
507,1685156489780
510,1685156489803
512,1685156489809
514,1685156489834
516,1685156489844
518,1685156489848
520,1685156489852
522,1685156489912
524,1685156489916
526,1685156489926
528,1685156489930
529,1685156489931
530,1685156489932
534,1685156489936
536,1685156489941
538,1685156489945
540,1685156489949
541,1685156489950
544,1685156489954
546,1685156489967
547,1685156489967
550,1685156489971
551,1685156489972
554,1685156489979
556,1685156489981
558,1685156489988
559,1685156489989
562,1685156489997
564,1685156490087
565,1685156490087
566,1685156490088
569,1685156490092
571,1685156490108
573,1685156490112
575,1685156490119
576,1685156490121
579,1685156490127
581,1685156490143
583,1685156490151
585,1685156490155
587,1685156490163
589,1685156490170
590,1685156490171
593,1685156490193
595,1685156490198
597,1685156490202
599,1685156490209
601,1685156490220
603,1685156490223
604,1685156490224
607,1685156490230
609,1685156490241
610,1685156490242
613,1685156490244
615,1685156490249
617,1685156490255
619,1685156490258
621,1685156490272
623,1685156490274
625,1685156490277
626,1685156490278
629,1685156490293
631,1685156490295
633,1685156490317
635,1685156490320
637,1685156490322
639,1685156490323
641,1685156490329
643,1685156490344
644,1685156490345
647,1685156490355
649,1685156490359
651,1685156490361
653,1685156490372
654,1685156490373
657,1685156490388
659,1685156490406
661,1685156490408
663,1685156490410
665,1685156490415
667,1685156490424
669,1685156490431
670,1685156490432
673,1685156490435
675,1685156490437
677,1685156490440
679,1685156490447
681,1685156490448
683,1685156490454
684,1685156490455
687,1685156490456
689,1685156490461
691,1685156490466
693,1685156490468
695,1685156490469
697,1685156490470
699,1685156490473
701,1685156490476
703,1685156490482
705,1685156490483
707,1685156490487
709,1685156490491
711,1685156490502
712,1685156490503
715,1685156490505
717,1685156490506
719,1685156490509
721,1685156490525
723,1685156490530
725,1685156490536
727,1685156490546
729,1685156490550
731,1685156490553
733,1685156490557
735,1685156490560
737,1685156490585
739,1685156490595
740,1685156490596
742,1685156490597
744,1685156490607
746,1685156490610
747,1685156490610
750,1685156490613
752,1685156490620
754,1685156490695
756,1685156490703
758,1685156490731
759,1685156490731
762,1685156490747
764,1685156490748
766,1685156490759
768,1685156490763
770,1685156490770
772,1685156490779
774,1685156490783
776,1685156490793
778,1685156490796
780,1685156490806
782,1685156490818
784,1685156490822
