operator,term,index,raftTime,prevApplyTime,valueSize
InsertRowNode,1,1,1685156483343,1685156483358,100
InsertRowNode,1,3,1685156483554,1685156493226,100
InsertRowNode,1,5,1685156483628,1685156495733,100
InsertRowNode,1,7,1685156484252,1685156495736,100
InsertRowNode,1,9,1685156484344,1685156495739,100
InsertRowNode,1,11,1685156484519,1685156495742,100
InsertRowNode,1,12,1685156484519,1685156495743,100
InsertRowNode,1,15,1685156484636,1685156495767,100
InsertRowNode,1,17,1685156484735,1685156495770,100
InsertRowNode,1,19,1685156484808,1685156495774,100
InsertRowNode,1,21,1685156484910,1685156495791,100
InsertRowNode,1,23,1685156484999,1685156495792,100
InsertRowNode,1,25,1685156485030,1685156495795,100
InsertRowNode,1,27,1685156485205,1685156495914,100
InsertRowNode,1,29,1685156485313,1685156495917,100
InsertRowNode,1,31,1685156485428,1685156495920,100
InsertRowNode,1,33,1685156485515,1685156495921,100
InsertRowNode,1,34,1685156485516,1685156495922,100
InsertRowNode,1,37,1685156485726,1685156495927,100
InsertRowNode,1,39,1685156485901,1685156495992,100
InsertRowNode,1,41,1685156485926,1685156495995,100
InsertRowNode,1,43,1685156486038,1685156495996,100
InsertRowNode,1,45,1685156486120,1685156495999,100
InsertRowNode,1,47,1685156486212,1685156496000,100
InsertRowNode,1,49,1685156486333,1685156496004,100
InsertRowNode,1,51,1685156486412,1685156496005,100
InsertRowNode,1,53,1685156486435,1685156496008,100
InsertRowNode,1,55,1685156486452,1685156496009,100
InsertRowNode,1,57,1685156486518,1685156496010,100
InsertRowNode,1,59,1685156486537,1685156496011,100
InsertRowNode,1,61,1685156486553,1685156496012,100
InsertRowNode,1,63,1685156486608,1685156496013,100
InsertRowNode,1,65,1685156486693,1685156496062,100
InsertRowNode,1,67,1685156486711,1685156496064,100
InsertRowNode,1,69,1685156486892,1685156499304,100
InsertRowNode,1,71,1685156486904,1685156499389,100
InsertRowNode,1,73,1685156486916,1685156499414,100
InsertRowNode,1,75,1685156486995,1685156499416,100
InsertRowNode,1,77,1685156487064,1685156499418,100
InsertRowNode,1,79,1685156487092,1685156499419,100
InsertRowNode,1,81,1685156487108,1685156499420,100
InsertRowNode,1,83,1685156487129,1685156499423,100
InsertRowNode,1,85,1685156487160,1685156499433,100
InsertRowNode,1,87,1685156487215,1685156499436,100
InsertRowNode,1,89,1685156487252,1685156499438,100
InsertRowNode,1,91,1685156487269,1685156499440,100
InsertRowNode,1,93,1685156487431,1685156499441,100
InsertRowNode,1,95,1685156487454,1685156500700,100
InsertRowNode,1,97,1685156487467,1685156502555,100
InsertRowNode,1,99,1685156487480,1685156502590,100
InsertRowNode,1,101,1685156487498,1685156502611,100
InsertRowNode,1,103,1685156487534,1685156502695,100
InsertRowNode,1,105,1685156487550,1685156502787,100
InsertRowNode,1,107,1685156487557,1685156502821,100
InsertRowNode,1,109,1685156487569,1685156502827,100
InsertRowNode,1,111,1685156487585,1685156502832,100
InsertRowNode,1,113,1685156487592,1685156502834,100
InsertRowNode,1,115,1685156487624,1685156503684,100
InsertRowNode,1,117,1685156487655,1685156503685,100
InsertRowNode,1,119,1685156487661,1685156503687,100
InsertRowNode,1,121,1685156487685,1685156503689,100
InsertRowNode,1,123,1685156487693,1685156503811,100
InsertRowNode,1,125,1685156487703,1685156503813,100
InsertRowNode,1,127,1685156487722,1685156503816,100
InsertRowNode,1,129,1685156487727,1685156503818,100
InsertRowNode,1,130,1685156487727,1685156503819,100
InsertRowNode,1,133,1685156487738,1685156503821,100
InsertRowNode,1,135,1685156487756,1685156503831,100
InsertRowNode,1,137,1685156487758,1685156503832,100
InsertRowNode,1,139,1685156487789,1685156503834,100
InsertRowNode,1,141,1685156487854,1685156503836,100
InsertRowNode,1,143,1685156487859,1685156503836,100
InsertRowNode,1,145,1685156487870,1685156503838,100
InsertRowNode,1,147,1685156487907,1685156503936,100
InsertRowNode,1,148,1685156487910,1685156503939,100
InsertRowNode,1,151,1685156487914,1685156503940,100
InsertRowNode,1,153,1685156487933,1685156503940,100
InsertRowNode,1,155,1685156487950,1685156503942,100
InsertRowNode,1,157,1685156487956,1685156503950,100
InsertRowNode,1,159,1685156487961,1685156503951,100
InsertRowNode,1,161,1685156487964,1685156503953,100
InsertRowNode,1,162,1685156487965,1685156503955,100
InsertRowNode,1,165,1685156487973,1685156504024,100
InsertRowNode,1,167,1685156487978,1685156504026,100
InsertRowNode,1,168,1685156487978,1685156504028,100
InsertRowNode,1,171,1685156487988,1685156504029,100
InsertRowNode,1,173,1685156488003,1685156504030,100
InsertRowNode,1,175,1685156488015,1685156504030,100
InsertRowNode,1,177,1685156488037,1685156504032,100
InsertRowNode,1,179,1685156488042,1685156504033,100
InsertRowNode,1,181,1685156488054,1685156504034,100
InsertRowNode,1,182,1685156488055,1685156504034,100
InsertRowNode,1,185,1685156488066,1685156518629,100
InsertRowNode,1,187,1685156488071,1685156518633,100
InsertRowNode,1,188,1685156488071,1685156529451,100
InsertRowNode,1,189,1685156488071,1685156529551,100
InsertRowNode,1,193,1685156488092,1685156529590,100
InsertRowNode,1,195,1685156488118,1685156529619,100
InsertRowNode,1,197,1685156488126,1685156529620,100
InsertRowNode,1,199,1685156488140,1685156529620,100
InsertRowNode,1,201,1685156488146,1685156529621,100
InsertRowNode,1,203,1685156488153,1685156529622,100
InsertRowNode,1,205,1685156488171,1685156529622,100
