operator,term,index,raftTime,prevApplyTime,valueSize
InsertRowNode,1,1,1685156483353,1685156483359,100
InsertRowNode,1,3,1685156483502,1685156483509,100
InsertRowNode,1,5,1685156484209,1685156484217,100
InsertRowNode,1,7,1685156484337,1685156484342,100
InsertRowNode,1,9,1685156484624,1685156484629,100
InsertRowNode,1,11,1685156484651,1685156484654,100
InsertRowNode,1,13,1685156484718,1685156484722,100
InsertRowNode,1,15,1685156484737,1685156484790,100
InsertRowNode,1,17,1685156484813,1685156484817,100
InsertRowNode,1,19,1685156485009,1685156485014,100
InsertRowNode,1,21,1685156485147,1685156485193,100
InsertRowNode,1,23,1685156485298,1685156485303,100
InsertRowNode,1,25,1685156485430,1685156485434,100
InsertRowNode,1,27,1685156485598,1685156485602,100
InsertRowNode,1,29,1685156485631,1685156485636,100
InsertRowNode,1,31,1685156485638,1685156485642,100
InsertRowNode,1,33,1685156485651,1685156485692,100
InsertRowNode,1,35,1685156485799,1685156485804,100
InsertRowNode,1,37,1685156485813,1685156485817,100
InsertRowNode,1,39,1685156485927,1685156485932,100
InsertRowNode,1,41,1685156485935,1685156485938,100
InsertRowNode,1,43,1685156485946,1685156485989,100
InsertRowNode,1,45,1685156486001,1685156486007,100
InsertRowNode,1,47,1685156486032,1685156486035,100
InsertRowNode,1,49,1685156486050,1685156486090,100
InsertRowNode,1,51,1685156486098,1685156486102,100
InsertRowNode,1,53,1685156486151,1685156486191,100
InsertRowNode,1,55,1685156486193,1685156486197,100
InsertRowNode,1,57,1685156486212,1685156486216,100
InsertRowNode,1,59,1685156486309,1685156486312,100
InsertRowNode,1,61,1685156486444,1685156486448,100
InsertRowNode,1,63,1685156486491,1685156486494,100
InsertRowNode,1,65,1685156486551,1685156486591,100
InsertRowNode,1,66,1685156486564,1685156486592,100
InsertRowNode,1,69,1685156486615,1685156486619,100
InsertRowNode,1,71,1685156486629,1685156486632,100
InsertRowNode,1,73,1685156486647,1685156486651,100
InsertRowNode,1,75,1685156486816,1685156486820,100
InsertRowNode,1,77,1685156486929,1685156486932,100
InsertRowNode,1,79,1685156487103,1685156487107,100
InsertRowNode,1,81,1685156487170,1685156487173,100
InsertRowNode,1,83,1685156487211,1685156487215,100
InsertRowNode,1,85,1685156487241,1685156487245,100
InsertRowNode,1,87,1685156487260,1685156487263,100
InsertRowNode,1,89,1685156487292,1685156487295,100
InsertRowNode,1,91,1685156487325,1685156487328,100
InsertRowNode,1,93,1685156487351,1685156487355,100
InsertRowNode,1,95,1685156487377,1685156487380,100
InsertRowNode,1,97,1685156487391,1685156487394,100
InsertRowNode,1,99,1685156487412,1685156487415,100
InsertRowNode,1,101,1685156487446,1685156487449,100
InsertRowNode,1,103,1685156487475,1685156487478,100
InsertRowNode,1,105,1685156487497,1685156487500,100
InsertRowNode,1,107,1685156487544,1685156487547,100
InsertRowNode,1,109,1685156487559,1685156487561,100
InsertRowNode,1,111,1685156487565,1685156487568,100
InsertRowNode,1,113,1685156487577,1685156487580,100
InsertRowNode,1,114,1685156487579,1685156487581,100
InsertRowNode,1,117,1685156487603,1685156487605,100
InsertRowNode,1,119,1685156487616,1685156487618,100
InsertRowNode,1,121,1685156487629,1685156487631,100
InsertRowNode,1,123,1685156487639,1685156487641,100
InsertRowNode,1,125,1685156487644,1685156487648,100
InsertRowNode,1,127,1685156487667,1685156487669,100
InsertRowNode,1,129,1685156487740,1685156487743,100
InsertRowNode,1,131,1685156487767,1685156487770,100
InsertRowNode,1,133,1685156487772,1685156487789,100
InsertRowNode,1,135,1685156487796,1685156487798,100
InsertRowNode,1,137,1685156487818,1685156487821,100
InsertRowNode,1,139,1685156487832,1685156487834,100
InsertRowNode,1,141,1685156487848,1685156487850,100
InsertRowNode,1,143,1685156487858,1685156487860,100
InsertRowNode,1,145,1685156487901,1685156487904,100
InsertRowNode,1,147,1685156487919,1685156487921,100
InsertRowNode,1,149,1685156487930,1685156487932,100
InsertRowNode,1,151,1685156487938,1685156487940,100
InsertRowNode,1,153,1685156487945,1685156487947,100
InsertRowNode,1,155,1685156487958,1685156487960,100
InsertRowNode,1,157,1685156487970,1685156487972,100
InsertRowNode,1,159,1685156487983,1685156487985,100
InsertRowNode,1,161,1685156487986,1685156487987,100
InsertRowNode,1,163,1685156488000,1685156488002,100
InsertRowNode,1,165,1685156488020,1685156488023,100
InsertRowNode,1,167,1685156488033,1685156488035,100
InsertRowNode,1,169,1685156488048,1685156488050,100
InsertRowNode,1,171,1685156488075,1685156488089,100
InsertRowNode,1,173,1685156488098,1685156488100,100
InsertRowNode,1,175,1685156488119,1685156488122,100
InsertRowNode,1,177,1685156488130,1685156488132,100
InsertRowNode,1,179,1685156488140,1685156488143,100
InsertRowNode,1,181,1685156488154,1685156488156,100
InsertRowNode,1,183,1685156488162,1685156488164,100
InsertRowNode,1,184,1685156488162,1685156488165,100
InsertRowNode,1,187,1685156488167,1685156488169,100
InsertRowNode,1,189,1685156488197,1685156488199,100
InsertRowNode,1,190,1685156488198,1685156488200,100
InsertRowNode,1,191,1685156488198,1685156488201,100
InsertRowNode,1,194,1685156488236,1685156488238,100
InsertRowNode,1,196,1685156488239,1685156488240,100
InsertRowNode,1,198,1685156488249,1685156488252,100
InsertRowNode,1,200,1685156488256,1685156488258,100
InsertRowNode,1,202,1685156488259,1685156488261,100
InsertRowNode,1,204,1685156488265,1685156488267,100
