operator,term,index,raftTime,prevApplyTime,valueSize
InsertRowNode,1,1,1685156482982,1685156482998,100
InsertRowNode,1,2,1685156482988,1685156483145,100
InsertRowNode,1,5,1685156483399,1685156483407,100
InsertRowNode,1,7,1685156483592,1685156483599,100
InsertRowNode,1,9,1685156484265,1685156484270,100
InsertRowNode,1,11,1685156484336,1685156484341,100
InsertRowNode,1,13,1685156484566,1685156484571,100
InsertRowNode,1,15,1685156484574,1685156484580,100
InsertRowNode,1,17,1685156484589,1685156484595,100
InsertRowNode,1,19,1685156484695,1685156484700,100
InsertRowNode,1,21,1685156484821,1685156484825,100
InsertRowNode,1,23,1685156485026,1685156485030,100
InsertRowNode,1,25,1685156485102,1685156485107,100
InsertRowNode,1,27,1685156485232,1685156485236,100
InsertRowNode,1,29,1685156485333,1685156485391,100
InsertRowNode,1,31,1685156485445,1685156485491,100
InsertRowNode,1,33,1685156485520,1685156485524,100
InsertRowNode,1,35,1685156485618,1685156485623,100
InsertRowNode,1,37,1685156485717,1685156485721,100
InsertRowNode,1,39,1685156485906,1685156485910,100
InsertRowNode,1,41,1685156485993,1685156485998,100
InsertRowNode,1,43,1685156486006,1685156486010,100
InsertRowNode,1,45,1685156486104,1685156486108,100
InsertRowNode,1,47,1685156486134,1685156486138,100
InsertRowNode,1,49,1685156486226,1685156486230,100
InsertRowNode,1,51,1685156486428,1685156486432,100
InsertRowNode,1,53,1685156486451,1685156486453,100
InsertRowNode,1,55,1685156486508,1685156486511,100
InsertRowNode,1,57,1685156486707,1685156486711,100
InsertRowNode,1,59,1685156486715,1685156486719,100
InsertRowNode,1,61,1685156486838,1685156486895,100
InsertRowNode,1,62,1685156486838,1685156486899,100
InsertRowNode,1,65,1685156486996,1685156487001,100
InsertRowNode,1,67,1685156487052,1685156487056,100
InsertRowNode,1,69,1685156487097,1685156487101,100
InsertRowNode,1,71,1685156487140,1685156487145,100
InsertRowNode,1,73,1685156487145,1685156487148,100
InsertRowNode,1,75,1685156487175,1685156487178,100
InsertRowNode,1,77,1685156487220,1685156487222,100
InsertRowNode,1,79,1685156487226,1685156487228,100
InsertRowNode,1,81,1685156487245,1685156487248,100
InsertRowNode,1,83,1685156487251,1685156487254,100
InsertRowNode,1,85,1685156487262,1685156487265,100
InsertRowNode,1,87,1685156487279,1685156487289,100
