operator,term,index,raftTime,prevApplyTime,valueSize
InsertRowNode,1,1,1685156482982,1685156483001,100
InsertRowNode,1,2,1685156482988,1685156492324,100
InsertRowNode,1,5,1685156483399,1685156495509,100
InsertRowNode,1,7,1685156483592,1685156495718,100
InsertRowNode,1,9,1685156484265,1685156495721,100
InsertRowNode,1,11,1685156484336,1685156495724,100
InsertRowNode,1,13,1685156484566,1685156495726,100
InsertRowNode,1,15,1685156484574,1685156495731,100
InsertRowNode,1,17,1685156484589,1685156495734,100
InsertRowNode,1,19,1685156484695,1685156495735,100
InsertRowNode,1,21,1685156484821,1685156495738,100
InsertRowNode,1,23,1685156485026,1685156495742,100
InsertRowNode,1,25,1685156485102,1685156495743,100
InsertRowNode,1,27,1685156485232,1685156495768,100
InsertRowNode,1,29,1685156485333,1685156495788,100
InsertRowNode,1,31,1685156485445,1685156495795,100
InsertRowNode,1,33,1685156485520,1685156495797,100
InsertRowNode,1,35,1685156485618,1685156495916,100
InsertRowNode,1,37,1685156485717,1685156495918,100
InsertRowNode,1,39,1685156485906,1685156495921,100
InsertRowNode,1,41,1685156485993,1685156495927,100
InsertRowNode,1,43,1685156486006,1685156495928,100
InsertRowNode,1,45,1685156486104,1685156495991,100
InsertRowNode,1,47,1685156486134,1685156496007,100
InsertRowNode,1,49,1685156486226,1685156496009,100
InsertRowNode,1,51,1685156486428,1685156496013,100
InsertRowNode,1,53,1685156486451,1685156496062,100
InsertRowNode,1,55,1685156486508,1685156496064,100
InsertRowNode,1,57,1685156486707,1685156496086,100
InsertRowNode,1,59,1685156486715,1685156496102,100
InsertRowNode,1,61,1685156486838,1685156496105,100
InsertRowNode,1,62,1685156486838,1685156496107,100
InsertRowNode,1,65,1685156486996,1685156496110,100
InsertRowNode,1,67,1685156487052,1685156496112,100
InsertRowNode,1,69,1685156487097,1685156496113,100
InsertRowNode,1,71,1685156487140,1685156496115,100
InsertRowNode,1,73,1685156487145,1685156496116,100
InsertRowNode,1,75,1685156487175,1685156496118,100
InsertRowNode,1,77,1685156487220,1685156496120,100
InsertRowNode,1,79,1685156487226,1685156496121,100
InsertRowNode,1,81,1685156487245,1685156496122,100
InsertRowNode,1,83,1685156487251,1685156496123,100
InsertRowNode,1,85,1685156487262,1685156496124,100
InsertRowNode,1,87,1685156487279,1685156496126,100
InsertRowNode,1,89,1685156487302,1685156496127,100
InsertRowNode,1,91,1685156487345,1685156496128,100
InsertRowNode,1,93,1685156487360,1685156496129,100
InsertRowNode,1,95,1685156487369,1685156496131,100
InsertRowNode,1,97,1685156487397,1685156496132,100
InsertRowNode,1,99,1685156487419,1685156496134,100
InsertRowNode,1,101,1685156487424,1685156496135,100
InsertRowNode,1,103,1685156487447,1685156496136,100
InsertRowNode,1,105,1685156487488,1685156496137,100
InsertRowNode,1,107,1685156487520,1685156496138,100
InsertRowNode,1,109,1685156487529,1685156496139,100
InsertRowNode,1,111,1685156487610,1685156496140,100
InsertRowNode,1,113,1685156487622,1685156496142,100
InsertRowNode,1,115,1685156487649,1685156496143,100
InsertRowNode,1,117,1685156487691,1685156496144,100
InsertRowNode,1,119,1685156487705,1685156496145,100
InsertRowNode,1,121,1685156487709,1685156496146,100
InsertRowNode,1,122,1685156487710,1685156496147,100
InsertRowNode,1,125,1685156487744,1685156496148,100
InsertRowNode,1,127,1685156487747,1685156496149,100
InsertRowNode,1,129,1685156487763,1685156496150,100
InsertRowNode,1,131,1685156487768,1685156496151,100
InsertRowNode,1,133,1685156487804,1685156496152,100
InsertRowNode,1,135,1685156487837,1685156496153,100
InsertRowNode,1,137,1685156487843,1685156496154,100
