operator,term,index,raftTime,prevApplyTime,valueSize
InsertRowNode,2,1,1685156484214,1685156484236,100
InsertRowNode,2,3,1685156484296,1685156484308,100
InsertRowNode,2,5,1685156484515,1685156484534,100
InsertRowNode,2,7,1685156484532,1685156484540,100
InsertRowNode,2,9,1685156484568,1685156484577,100
InsertRowNode,2,11,1685156484603,1685156484612,100
InsertRowNode,2,13,1685156484655,1685156484689,100
InsertRowNode,2,15,1685156484703,1685156484711,100
InsertRowNode,2,17,1685156484910,1685156484919,100
InsertRowNode,2,19,1685156485109,1685156485117,100
InsertRowNode,2,21,1685156485238,1685156485289,100
InsertRowNode,2,23,1685156485325,1685156485388,100
InsertRowNode,2,25,1685156485411,1685156485420,100
InsertRowNode,2,27,1685156485594,1685156485602,100
InsertRowNode,2,29,1685156485623,1685156485631,100
InsertRowNode,2,31,1685156485325,1685156485692,100
InsertRowNode,2,33,1685156485658,1685156485698,100
InsertRowNode,2,35,1685156485722,1685156485790,100
InsertRowNode,2,37,1685156485913,1685156485921,100
InsertRowNode,2,39,1685156486107,1685156486115,100
InsertRowNode,2,41,1685156486114,1685156486120,100
InsertRowNode,2,43,1685156486164,1685156486192,100
InsertRowNode,2,45,1685156486198,1685156486204,100
InsertRowNode,2,47,1685156486243,1685156486290,100
InsertRowNode,2,49,1685156486305,1685156486312,100
InsertRowNode,2,51,1685156486356,1685156486390,100
InsertRowNode,2,52,1685156486356,1685156486392,100
InsertRowNode,2,55,1685156486418,1685156486424,100
InsertRowNode,2,57,1685156486459,1685156486490,100
InsertRowNode,2,58,1685156486464,1685156486492,100
InsertRowNode,2,61,1685156486497,1685156486503,100
InsertRowNode,2,63,1685156486502,1685156486506,100
InsertRowNode,2,65,1685156486528,1685156486534,100
InsertRowNode,2,67,1685156486555,1685156486591,100
InsertRowNode,2,69,1685156486635,1685156486642,100
InsertRowNode,2,71,1685156486718,1685156486790,100
InsertRowNode,2,73,1685156486816,1685156486822,100
InsertRowNode,2,75,1685156486834,1685156486893,100
InsertRowNode,2,77,1685156486913,1685156486920,100
InsertRowNode,2,79,1685156487007,1685156487018,100
InsertRowNode,2,80,1685156487008,1685156487020,100
InsertRowNode,2,83,1685156487018,1685156487023,100
InsertRowNode,2,85,1685156487033,1685156487039,100
InsertRowNode,2,87,1685156487037,1685156487044,100
InsertRowNode,2,89,1685156487046,1685156487052,100
InsertRowNode,2,91,1685156487071,1685156487088,100
InsertRowNode,2,93,1685156487149,1685156487156,100
InsertRowNode,2,95,1685156487201,1685156487208,100
InsertRowNode,2,97,1685156487322,1685156487328,100
InsertRowNode,2,99,1685156487332,1685156487338,100
InsertRowNode,2,101,1685156487360,1685156487366,100
InsertRowNode,2,103,1685156487388,1685156487394,100
InsertRowNode,2,105,1685156487436,1685156487443,100
InsertRowNode,2,107,1685156487453,1685156487460,100
InsertRowNode,2,109,1685156487460,1685156487465,100
InsertRowNode,2,111,1685156487463,1685156487467,100
InsertRowNode,2,113,1685156487481,1685156487486,100
InsertRowNode,2,115,1685156487489,1685156487494,100
InsertRowNode,2,117,1685156487505,1685156487510,100
InsertRowNode,2,119,1685156487513,1685156487517,100
InsertRowNode,2,121,1685156487526,1685156487531,100
InsertRowNode,2,123,1685156487551,1685156487556,100
InsertRowNode,2,125,1685156487562,1685156487567,100
InsertRowNode,2,127,1685156487572,1685156487576,100
InsertRowNode,2,129,1685156487606,1685156487612,100
InsertRowNode,2,131,1685156487631,1685156487636,100
InsertRowNode,2,133,1685156487634,1685156487638,100
InsertRowNode,2,135,1685156487660,1685156487664,100
InsertRowNode,2,137,1685156487672,1685156487677,100
InsertRowNode,2,139,1685156487678,1685156487682,100
InsertRowNode,2,141,1685156487697,1685156487701,100
InsertRowNode,2,143,1685156487719,1685156487724,100
InsertRowNode,2,145,1685156487750,1685156487754,100
InsertRowNode,2,147,1685156487762,1685156487766,100
InsertRowNode,2,149,1685156487815,1685156487819,100
InsertRowNode,2,151,1685156487820,1685156487824,100
InsertRowNode,2,153,1685156487825,1685156487828,100
InsertRowNode,2,155,1685156487831,1685156487835,100
InsertRowNode,2,157,1685156487843,1685156487847,100
InsertRowNode,2,159,1685156487863,1685156487868,100
InsertRowNode,2,161,1685156487873,1685156487877,100
InsertRowNode,2,162,1685156487875,1685156487879,100
